2152;2871;2266;2913;4
2613;2022;2637;2266;13
2028;2655;2068;2861;25
1997;2059;2534;2101;95
2597;2520;2634;2793;26
2004;2857;2289;2900;43
2019;2105;2072;2576;45
2350;2025;2544;2103;29
2427;2850;2541;2901;10
2025;2014;2068;2094;2
2027;2102;2078;2475;78
2596;2227;2645;2786;9
2040;2314;2082;2367;4
2185;2016;2383;2103;23
2476;2879;2669;2916;11
2630;2152;2672;2396;42
2085;2827;2664;2910;77
1996;2041;2134;2069;1
2650;2669;2678;2819;9
1996;2147;2024;2664;51
2203;2044;2312;2073;6
2046;2372;2091;2636;36
2622;2218;2644;2306;9
2257;2869;2355;2902;7
2154;2030;2381;2065;23
2020;2228;2068;2563;4
2034;2848;2661;2912;77
2619;2177;2673;2409;43
2628;2587;2666;2859;52
2382;2057;2468;2103;15
2472;2879;2677;2900;14
2001;2163;2081;2593;56
2287;2064;2610;2091;25
2265;2814;2369;2857;10
1994;2641;2096;2883;83
2606;2118;2686;2268;56
2152;2028;2664;2070;21
2615;2508;2644;2652;2
2014;2825;2215;2859;34
2074;2043;2095;2075;2
2605;2079;2683;2492;25
2299;2889;2661;2914;28
2273;2013;2590;2070;29
2038;2231;2062;2790;57
2076;2853;2476;2879;45
2005;2597;2041;2872;30
2601;2036;2627;2307;17
2013;2027;2339;2079;16
1995;2222;2084;2890;45
2200;2893;2242;2919;3
2618;2148;2657;2799;99
2508;2047;2618;2104;24
2438;2849;2549;2904;23
1999;2132;2055;2780;96
2176;2030;2629;2102;50
2661;2401;2682;2534;7
2040;2600;2078;2633;3
2031;2850;2282;2894;37
2095;2042;2278;2099;22
2604;2760;2630;2842;6
1998;2384;2061;2750;15
2237;2053;2645;2103;78
2624;2737;2677;2849;7
2445;2837;2539;2916;4
2008;2087;2073;2704;36
2615;2338;2656;2390;1
2040;2825;2369;2890;80
2321;2063;2638;2089;13
2151;2883;2216;2909;5
2621;2230;2670;2592;39
2447;2048;2607;2093;22
2026;2284;2094;2483;54
2095;2029;2430;2102;47
2211;2890;2589;2913;26
2620;2141;2677;2442;75
2016;2605;2080;2858;19
2643;2276;2676;2612;8
1995;2302;2015;2698;32
2503;2013;2647;2054;3
2096;2817;2582;2903;23
2390;2051;2526;2089;16
2600;2658;2637;2746;6
2041;2339;2077;2790;37
2008;2853;2310;2915;52
2657;2679;2688;2831;6
2019;2050;2544;2102;68
1994;2143;2021;2719;20
2174;2822;2642;2877;83
2006;2550;2065;2714;35
2606;2060;2675;2417;92
2235;2042;2604;2073;24
2613;2831;2635;2890;2
2597;2450;2638;2883;65
2000;2666;2038;2779;8
2286;2839;2366;2889;1
2372;2039;2594;2102;59
