2152;2814;2266;2920;55
2592;2400;2692;2453;30
1994;2701;2099;2876;3
2428;2002;2493;2105;38
2592;2817;2692;2887;65
2134;2814;2199;2920;64
1994;2714;2099;2812;95
2068;2002;2106;2105;51
2487;2814;2680;2920;76
2273;2002;2372;2105;45
1994;2331;2099;2448;45
2592;2580;2692;2734;71
1994;2088;2099;2170;71
2458;2002;2574;2105;11
2079;2814;2175;2920;80
2592;2101;2692;2173;94
2158;2814;2277;2920;5
2350;2002;2544;2105;29
2592;2045;2692;2195;10
1994;2350;2099;2470;45
2292;2002;2459;2105;25
1994;2373;2099;2565;37
2592;2090;2692;2244;49
2062;2814;2120;2920;69
2223;2002;2343;2105;33
1994;2271;2099;2316;78
2614;2814;2660;2920;18
2592;2038;2692;2097;10
2592;2076;2692;2206;35
2021;2002;2159;2105;76
2083;2814;2118;2920;31
1994;2742;2099;2887;70
2137;2002;2210;2105;41
2047;2814;2222;2920;77
1994;2610;2099;2634;34
2592;2076;2692;2257;97
2150;2002;2227;2105;40
2592;2529;2692;2723;39
2424;2814;2559;2920;12
1994;2071;2099;2228;71
2592;2300;2692;2465;86
2025;2814;2221;2920;80
2200;2002;2364;2105;7
1994;2063;2099;2236;58
2176;2814;2299;2920;57
1994;2858;2099;2898;3
2592;2083;2692;2159;63
2485;2002;2654;2105;44
1994;2049;2099;2070;66
2530;2814;2611;2920;40
2592;2079;2692;2114;78
2115;2002;2166;2105;28
2073;2814;2179;2920;95
1994;2831;2099;2865;51
2255;2002;2379;2105;25
2592;2521;2692;2701;50
1994;2621;2099;2667;84
2218;2814;2397;2920;65
2204;2002;2269;2105;94
2592;2580;2692;2659;95
1994;2477;2099;2554;96
2242;2002;2360;2105;1
2592;2669;2692;2819;96
2126;2814;2189;2920;10
1994;2735;2099;2840;53
2592;2325;2692;2386;85
2478;2814;2654;2920;52
2041;2002;2224;2105;90
2182;2814;2336;2920;79
2592;2290;2692;2395;98
2412;2002;2496;2105;34
1994;2717;2099;2822;57
2067;2002;2204;2105;51
2041;2814;2132;2920;77
2592;2623;2692;2686;64
1994;2488;2099;2667;79
2592;2346;2692;2452;22
1994;2734;2099;2789;41
2439;2002;2541;2105;4
2013;2814;2212;2920;69
2083;2002;2186;2105;25
2592;2512;2692;2553;67
1994;2495;2099;2656;85
2591;2814;2636;2920;6
2592;2736;2692;2780;39
2263;2002;2345;2105;75
1994;2301;2099;2361;53
2451;2814;2564;2920;41
1994;2751;2099;2892;11
2592;2727;2692;2903;48
2228;2002;2406;2105;65
2023;2814;2175;2920;29
2592;2740;2692;2892;88
1994;2796;2099;2821;55
2503;2814;2553;2920;33
2256;2002;2361;2105;63
2482;2814;2664;2920;83
2592;2589;2692;2708;71
1994;2711;2099;2896;33
2188;2002;2284;2105;85
2592;2308;2692;2440;59
2192;2814;2293;2920;43
1994;2764;2099;2873;52
2057;2002;2083;2105;20
2005;2814;2132;2920;55
2283;2002;2457;2105;16
1994;2649;2099;2741;7
2592;2270;2692;2464;51
1994;2566;2099;2647;22
2632;2002;2662;2105;35
2526;2814;2583;2920;30
2592;2257;2692;2378;90
2256;2814;2327;2920;44
2362;2002;2472;2105;8
2592;2637;2692;2809;29
1994;2111;2099;2162;73
2077;2002;2233;2105;15
1994;2232;2099;2279;68
2592;2810;2692;2874;15
2331;2814;2503;2920;54
2145;2002;2202;2105;18
1994;2120;2099;2244;91
2260;2814;2454;2920;70
2592;2625;2692;2660;4
2592;2070;2692;2122;75
2257;2002;2297;2105;16
2419;2814;2553;2920;2
1994;2688;2099;2867;13
2249;2002;2274;2105;60
2368;2814;2529;2920;71
1994;2836;2099;2905;84
2592;2327;2692;2514;21
2526;2002;2681;2105;8
2592;2469;2692;2496;81
2525;2814;2619;2920;16
1994;2015;2099;2119;54
2592;2609;2692;2699;37
2276;2814;2439;2920;95
2548;2002;2671;2105;21
1994;2223;2099;2318;69
2356;2814;2406;2920;55
1994;2430;2099;2523;7
2592;2123;2692;2154;72
2525;2002;2564;2105;82
1994;2235;2099;2356;73
2052;2814;2159;2920;75
2592;2129;2692;2220;59
2370;2002;2458;2105;31
2203;2814;2322;2920;80
1994;2410;2099;2570;7
2294;2002;2398;2105;96
2592;2363;2692;2461;91
1994;2534;2099;2668;92
2263;2814;2335;2920;79
2182;2002;2277;2105;85
2592;2451;2692;2611;17
1994;2715;2099;2903;9
2023;2002;2191;2105;65
2592;2718;2692;2789;47
2272;2814;2361;2920;4
1994;2311;2099;2498;70
2592;2100;2692;2137;41
2437;2814;2568;2920;34
2389;2002;2420;2105;10
2626;2814;2659;2920;53
2592;2718;2692;2739;27
2198;2002;2228;2105;67
1994;2514;2099;2651;90
2073;2002;2130;2105;17
2252;2814;2317;2920;79
2592;2265;2692;2448;48
1994;2533;2099;2608;80
2592;2640;2692;2733;78
1994;2680;2099;2833;99
2108;2002;2179;2105;68
2391;2814;2558;2920;78
2300;2002;2476;2105;43
2592;2351;2692;2400;83
1994;2802;2099;2842;33
2236;2814;2409;2920;7
2592;2461;2692;2524;47
2162;2002;2266;2105;27
1994;2633;2099;2657;57
2459;2814;2561;2920;55
1994;2689;2099;2801;96
2592;2212;2692;2341;14
1996;2002;2036;2105;94
2009;2814;2149;2920;26
2592;2194;2692;2214;8
1994;2174;2099;2210;39
2065;2814;2141;2920;30
2506;2002;2536;2105;37
