2267;2814;2593;2920;95
2592;2474;2692;2738;72
2420;2472;2427;2564;59
2109;2002;2194;2105;33
1994;2598;2099;2605;38
2592;2024;2692;2433;50
2018;2814;2566;2920;3
1994;2766;2099;2898;81
2148;2002;2441;2105;51
2602;2472;2665;2564;40
2202;2472;2630;2564;21
2083;2002;2383;2105;72
2573;2814;2602;2920;91
1994;2350;2099;2470;45
2592;2524;2692;2817;76
2008;2472;2345;2564;79
1994;2520;2099;2747;18
2467;2814;2580;2920;71
2328;2002;2674;2105;31
2592;2154;2692;2492;35
2075;2472;2231;2564;31
2030;2814;2054;2920;19
1994;2542;2099;2852;10
2592;2517;2692;2868;47
2383;2002;2632;2105;59
2545;2814;2573;2920;2
2057;2002;2456;2105;15
2592;2220;2692;2901;54
1994;2110;2099;2158;31
2214;2472;2488;2564;27
1994;2063;2099;2369;41
2070;2002;2142;2105;80
2592;2282;2692;2495;32
2446;2814;2452;2920;30
2206;2472;2614;2564;43
2053;2814;2383;2920;10
2592;2733;2692;2827;96
2102;2002;2292;2105;92
2013;2472;2175;2564;83
1994;2022;2099;2898;89
2069;2002;2241;2105;39
2592;2058;2692;2298;65
1994;2011;2099;2096;27
2053;2472;2307;2564;12
2082;2814;2666;2920;43
2152;2472;2438;2564;94
2592;2371;2692;2552;81
2162;2814;2447;2920;40
2175;2002;2413;2105;57
1994;2584;2099;2718;56
2057;2002;2607;2105;4
1994;2541;2099;2846;64
2592;2458;2692;2712;30
2183;2472;2293;2564;84
2404;2814;2565;2920;69
2014;2002;2099;2105;79
2592;2054;2692;2666;44
2106;2814;2283;2920;29
1994;2222;2099;2684;41
2009;2472;2167;2564;74
2592;2177;2692;2435;41
1994;2431;2099;2891;75
2223;2472;2351;2564;87
2316;2002;2342;2105;34
2283;2814;2492;2920;89
2005;2002;2439;2105;2
2112;2814;2665;2920;67
1994;2302;2099;2358;77
2592;2469;2692;2549;38
2281;2472;2656;2564;25
2344;2472;2640;2564;42
2315;2814;2599;2920;55
2592;2581;2692;2774;13
1994;2349;2099;2785;73
2167;2002;2286;2105;38
1994;2664;2099;2666;99
2366;2814;2373;2920;77
2592;2326;2692;2656;6
2029;2002;2040;2105;47
2040;2472;2481;2564;31
2214;2814;2452;2920;37
2592;2020;2692;2506;61
1994;2403;2099;2878;26
2406;2002;2648;2105;44
2309;2472;2426;2564;62
2045;2002;2328;2105;43
2592;2681;2692;2896;57
1994;2460;2099;2661;84
2320;2814;2353;2920;52
2434;2472;2546;2564;38
2246;2814;2576;2920;77
1994;2253;2099;2721;6
2592;2397;2692;2662;85
2041;2472;2155;2564;97
2348;2002;2615;2105;78
2218;2002;2363;2105;49
2193;2814;2676;2920;3
1994;2331;2099;2650;89
2159;2472;2647;2564;82
2592;2121;2692;2184;24
2104;2002;2587;2105;35
1994;2420;2099;2482;31
2191;2814;2652;2920;17
2215;2472;2311;2564;79
2592;2124;2692;2881;14
2592;2013;2692;2318;87
2283;2814;2584;2920;59
2125;2472;2326;2564;77
2086;2002;2166;2105;11
1994;2241;2099;2388;76
2297;2472;2303;2564;4
